Name,Date Public,Founded,MarketValue,P/Q-1 Earnings Date,P/Q-1 % Variance,-10 Before Earnings,+10 Since Earnings,+20 Since Earnings,+30 Since Earnings,P/Q-2 Earnings Date,P/Q-2 % Variance,-10 Before Earnings,+10 Since Earnings,+20 Since Earnings,+30 Since Earnings,P/Q-3 Earnings Date,P/Q-3 % Variance,-10 Before Earnings,+10 Since Earnings,+20 Since Earnings,+30 Since Earnings,P/Q-4 Earnings Date,P/Q-4 % Variance,-10 Before Earnings,+10 Since Earnings,+20 Since Earnings,+30 Since Earnings,P/Q-5 Earnings Date,P/Q-5 % Variance,-10 Before Earnings,+10 Since Earnings,+20 Since Earnings,+30 Since Earnings,P/Q-6 Earnings Date,P/Q-6 % Variance,-10 Before Earnings,+10 Since Earnings,+20 Since Earnings,+30 Since Earnings
Baxter International Inc.,11/05/1984,1931,"$41,349.93",10/24/2019,0.04,-0.02,-0.04,0.05,0.00,7/25/2019,0.09,0.01,0.03,0.02,0.01,4/25/2019,12%,-0.06,0.02,0.00,0.01,1/31/2019,0.07,0.03,-0.02,0.02,0.01,10/31/2018,0.08,0.00,0.02,0.05,0.02,7/26/2018,0.08,0.00,-0.03,0.00,0.03
Aon plc,11/05/1984,2011,"$41,046.32",1/31/2020,0.02,0.05,0.02,0.02,-0.20,10/25/2019,0.01,-0.01,0.01,0.02,0.02,7/26/2019,0%,0.00,0.01,0.02,-0.02,4/26/2019,0.00,0.03,0.01,0.01,0.05,2/1/2019,0.01,0.00,0.00,-0.02,-0.02,10/26/2018,0.07,0.02,0.03,0.02,-0.03
Walgreens Boots Alliance Inc,11/05/1984,1901,"$40,917.96",1/8/2020,-0.03,0.01,-0.07,0.00,-0.04,10/28/2019,0.01,0.01,0.10,-0.04,-0.04,6/27/2019,3%,0.00,-0.01,-0.02,-0.01,4/2/2019,-0.04,-0.01,-0.02,-0.03,0.01,12/20/2018,0.02,-0.04,-0.02,-0.01,-0.04,10/11/2018,0.02,0.03,0.08,0.05,0.04
General Dynamics Corporation,11/05/1984,1952,"$40,443.52",1/29/2020,0.02,0.02,0.00,0.00,-0.04,10/23/2019,0.02,-0.02,0.02,0.00,-0.01,7/24/2019,3%,0.02,0.01,0.03,0.00,4/24/2019,0.06,0.04,-0.05,0.01,0.02,1/30/2019,0.03,0.05,-0.01,-0.03,-0.01,10/24/2018,0.05,-0.03,0.01,0.01,-0.05
Moody's Corporation,11/05/1984,1909,"$39,888.41",2/12/2020,0.04,0.02,0.01,-0.04,0.10,10/30/2019,0.08,-0.01,-0.01,0.01,0.03,7/31/2019,4%,-0.02,0.01,0.02,-0.05,4/24/2019,0.07,-0.01,0.00,0.00,0.00,2/15/2019,-0.03,0.02,0.01,0.02,0.02,10/26/2018,-0.06,0.02,0.04,0.04,-0.04
Edwards Lifesciences Corporation, 3/27/2000,1958,"$38,792.32",1/31/2020,-0.02,-0.01,0.00,0.01,-0.13,10/24/2019,0.16,-0.03,0.00,0.03,-0.03,7/24/2019,4%,0.02,0.04,0.03,0.00,4/24/2019,0.08,-0.05,0.02,-0.02,0.04,2/1/2019,0.00,0.05,0.03,-0.04,0.10,10/24/2018,0.05,0.05,0.07,0.00,0.07
L3Harris Technologies Inc,11/05/1984,#N/A,"$38,527.27",2/4/2020,#N/A,0.03,-0.02,0.01,-0.16,10/30/2019,#N/A,-0.03,-0.06,-0.01,-0.03,1/29/2019,3%,0.02,0.00,-0.02,-0.01,10/15/2018,0.04,-0.03,-0.11,-0.02,-0.04,7/31/2018,0.01,0.00,-0.01,-0.02,-0.02,5/2/2018,0.02,-0.07,0.01,-0.02,-0.03
Lam Research Corporation,11/05/1984,1980,"$38,101.68",1/30/2020,0.04,-0.01,0.07,-0.02,-0.02,10/24/2019,0.06,-0.03,0.01,-0.04,0.01,8/1/2019,6%,0.09,0.00,0.02,0.11,4/25/2019,0.09,0.01,-0.01,-0.05,-0.01,1/24/2019,0.06,-0.01,0.07,-0.01,-0.04,10/17/2018,0.05,0.00,0.00,0.01,0.06
Norfolk Southern Corporation,11/05/1984,1980,"$37,867.00",1/29/2020,0.12,0.03,-0.05,-0.01,-0.11,10/23/2019,0.00,0.10,0.02,-0.03,-0.01,7/24/2019,-3%,-0.01,0.01,-0.04,-0.01,4/24/2019,0.15,0.03,-0.01,0.02,-0.01,1/25/2019,0.12,0.02,0.02,0.02,0.00,10/24/2018,0.03,-0.09,0.02,0.02,-0.05
Las Vegas Sands Corp.,12/15/2004,2004,"$37,428.20",1/30/2020,0.12,-0.12,0.02,-0.04,-0.07,10/24/2019,0.01,0.06,0.02,-0.06,0.05,7/25/2019,-8%,0.03,-0.10,-0.01,0.01,4/18/2019,0.05,0.05,-0.01,-0.09,-0.08,1/24/2019,-0.10,-0.01,0.03,0.00,-0.01,10/25/2018,-0.05,-0.03,-0.05,0.01,0.05
Centene Corporation,12/13/2001,1984,"$37,300.90",2/4/2020,0.00,0.00,0.06,0.00,0.02,10/22/2019,0.01,0.02,0.04,0.13,0.01,7/23/2019,8%,0.01,-0.03,-0.06,-0.03,4/23/2019,0.03,-0.14,0.13,0.03,-0.04,2/5/2019,0.00,0.01,0.00,-0.12,0.02,10/23/2018,0.01,0.03,-0.03,0.04,0.02
Dollar General Corporation,11/13/2009,1939,"$37,123.23",3/12/2020,0.04,0.09,0.03,0.00,0.00,12/5/2019,0.03,-0.03,-0.02,-0.02,0.00,8/29/2019,11%,0.04,-0.02,0.03,0.01,5/30/2019,0.07,0.03,0.03,0.00,0.01,3/14/2019,-0.02,0.01,0.07,0.00,0.01,12/4/2018,0.00,-0.02,0.06,0.05,-0.01
Public Storage,11/05/1984,1972,"$36,933.57",2/26/2020,-0.07,0.04,0.09,-0.04,0.00,10/30/2019,0.01,-0.05,-0.07,-0.02,-0.04,7/31/2019,-3%,-0.03,0.10,0.01,-0.09,5/2/2019,0.01,0.02,0.02,0.08,-0.03,2/27/2019,0.44,-0.07,0.04,0.01,-0.03,10/31/2018,0.00,0.09,0.02,0.00,0.01
"Analog Devices, Inc.",11/05/1984,1965,"$36,744.68",2/19/2020,0.03,0.04,-0.02,-0.11,0.00,11/26/2019,-0.02,-0.01,0.01,0.01,-0.02,8/21/2019,3%,0.00,0.02,0.01,-0.01,5/22/2019,0.04,-0.12,-0.01,0.09,-0.01,2/20/2019,0.04,0.02,0.00,0.00,-0.01,11/20/2018,0.02,0.01,-0.02,0.01,-0.02
Exelon Corporation,11/05/1984,1999,"$35,426.28",2/11/2020,0.14,-0.01,0.02,-0.03,-0.09,10/31/2019,0.04,0.02,-0.04,-0.02,-0.02,8/1/2019,-2%,-0.07,0.04,0.02,-0.02,5/2/2019,0.00,0.02,0.00,0.03,0.01,2/8/2019,0.02,0.00,-0.02,0.02,0.02,11/1/2018,0.00,0.05,0.05,0.01,0.06
Eaton Corp. Plc,11/05/1984,2012,"$35,370.50",2/4/2020,0.04,0.02,0.01,0.02,-0.13,10/29/2019,0.01,0.05,0.02,-0.01,0.01,7/30/2019,1%,0.00,-0.02,-0.01,0.10,4/30/2019,0.01,-0.01,-0.01,-0.03,0.00,2/1/2019,0.01,0.05,0.00,0.03,0.00,10/30/2018,0.00,-0.06,0.01,0.05,-0.04
General Motors Company,11/18/2010,1908,"$35,310.64",2/5/2020,3.13,-0.01,0.00,-0.04,-0.18,10/29/2019,0.32,0.01,-0.01,-0.09,-0.02,8/1/2019,17%,0.03,-0.06,-0.02,0.02,4/30/2019,0.25,-0.01,-0.01,-0.04,-0.01,2/6/2019,0.12,-0.01,-0.02,-0.03,-0.05,10/31/2018,0.53,0.08,-0.04,0.03,0.00
HCA Healthcare Inc, 3/10/2011,1968,"$35,295.55",1/28/2020,0.00,-0.04,0.00,-0.07,0.00,10/29/2019,0.05,0.04,-0.02,0.01,0.03,7/30/2019,-10%,0.03,-0.01,-0.06,0.07,4/30/2019,0.28,-0.03,0.00,0.01,0.00,1/29/2019,0.18,0.00,-0.02,-0.03,-0.07,10/30/2018,0.14,0.01,0.03,0.01,-0.02
Xcel Energy Inc.,11/05/1984,1909,"$35,068.88",1/30/2020,0.05,0.06,-0.01,0.01,0.16,10/24/2019,-0.02,-0.02,-0.09,0.02,-0.01,8/1/2019,-11%,-0.03,0.05,0.02,-0.06,4/25/2019,-0.01,-0.02,0.02,0.07,-0.01,1/31/2019,0.01,-0.01,0.00,0.01,0.03,10/25/2018,-0.02,0.08,-0.04,0.09,0.05
"Autodesk, Inc.", 6/28/1985,1982,"$34,771.82",2/28/2020,0.03,-0.01,-0.08,0.00,0.00,11/27/2019,0.08,0.06,-0.02,0.02,0.02,8/28/2019,5%,0.01,0.07,-0.03,-0.02,5/24/2019,-0.04,0.00,0.00,0.00,0.00,3/1/2019,0.09,0.01,-0.04,0.01,0.08,11/21/2018,0.08,-0.04,-0.01,-0.01,0.05
"Illumina, Inc.", 7/28/2000,1998,"$34,299.51",1/30/2020,0.07,-0.01,-0.04,0.03,-0.03,10/25/2019,0.38,0.03,-0.01,0.07,0.03,7/30/2019,1%,0.00,0.01,-0.01,-0.03,4/26/2019,0.20,-0.03,0.02,0.01,0.06,1/30/2019,-0.03,-0.07,0.05,0.05,-0.02,10/24/2018,0.21,0.02,0.12,-0.04,0.04
ConocoPhillips,11/05/1984,1875,"$33,925.93",2/4/2020,-0.05,-0.07,0.02,-0.09,-0.37,10/29/2019,0.14,-0.03,0.00,0.02,0.03,7/30/2019,-3%,-0.04,-0.07,-0.03,0.08,4/30/2019,0.10,-0.08,0.02,-0.02,-0.06,1/31/2019,0.12,-0.03,0.00,-0.02,-0.02,10/25/2018,0.15,-0.08,-0.05,0.02,0.02
Monster Beverage Corporation,12/06/1985,1990,"$33,496.94",2/28/2020,0.05,0.04,0.09,0.00,0.00,11/8/2019,0.02,-0.03,0.00,0.02,0.02,8/8/2019,-5%,-0.02,-0.08,-0.02,0.02,5/3/2019,0.18,0.05,0.04,0.03,-0.07,2/28/2019,0.06,-0.02,-0.07,-0.09,-0.02,11/8/2018,0.10,0.02,0.12,-0.01,-0.05
Kinder Morgan Inc Class P, 2/11/2011,1997,"$33,477.63",1/23/2020,-0.02,-0.04,-0.03,0.04,-0.02,10/17/2019,-0.07,-0.04,-0.02,-0.01,-0.05,7/18/2019,-7%,-0.02,0.03,-0.01,0.00,4/18/2019,0.02,-0.02,-0.01,0.06,0.04,1/17/2019,-0.03,0.06,0.01,0.00,0.05,10/18/2018,-0.01,0.02,-0.03,0.00,-0.02
Capital One Financial Corporation,11/16/1994,1994,"$33,318.54",1/22/2020,0.05,-0.01,-0.02,-0.02,-0.08,10/25/2019,0.13,0.03,0.02,0.00,0.03,7/19/2019,17%,-0.05,0.01,-0.04,0.00,4/26/2019,0.07,0.02,-0.02,0.02,-0.03,1/23/2019,-0.22,0.01,-0.01,0.01,0.00,10/24/2018,0.09,-0.05,0.00,0.01,-0.04
"Ross Stores, Inc.", 8/08/1985,1957,"$33,315.02",3/4/2020,0.02,0.00,-0.15,0.00,0.00,11/22/2019,0.06,-0.02,0.02,-0.03,0.03,8/23/2019,2%,0.01,0.01,-0.01,0.03,5/24/2019,0.03,-0.01,0.03,0.03,-0.02,3/6/2019,0.06,0.00,-0.05,0.02,0.04,11/20/2018,0.01,-0.08,-0.03,0.03,0.12
"Roper Technologies, Inc.", 2/13/1992,1981,"$33,267.50",1/30/2020,0.01,0.02,-0.03,0.03,-0.02,10/24/2019,0.03,-0.04,0.00,0.03,-0.04,7/25/2019,1%,-0.01,-0.01,-0.01,0.04,4/25/2019,0.19,0.00,0.03,0.02,0.02,2/1/2019,0.03,0.00,0.04,0.02,0.02,10/26/2018,0.05,-0.02,-0.01,0.00,0.00
"General Mills, Inc.",11/05/1984,1866,"$32,345.61",12/18/2019,0.08,-0.06,-0.03,0.01,0.01,9/18/2019,0.02,-0.02,0.01,-0.04,-0.06,6/26/2019,8%,0.02,0.01,0.00,0.03,3/20/2019,0.20,0.00,0.02,0.02,-0.02,12/19/2018,0.05,-0.03,0.03,0.04,-0.01,9/18/2018,0.11,0.04,-0.02,0.06,0.07
Newmont Corporation,11/05/1984,1921,"$31,907.63",2/20/2020,0.07,0.02,0.19,-0.24,0.00,11/5/2019,-0.08,0.00,0.01,0.02,0.02,7/25/2019,-48%,0.00,0.05,-0.02,-0.02,4/25/2019,0.21,-0.14,-0.04,0.07,0.11,2/21/2019,0.64,0.02,-0.05,0.00,0.05,10/25/2018,0.70,0.09,0.06,0.06,0.03
"Simon Property Group, Inc.",12/14/1993,1993,"$31,743.49",2/4/2020,0.00,-0.08,-0.03,-0.02,-0.27,10/30/2019,0.01,0.01,0.00,-0.04,-0.05,7/31/2019,-2%,-0.01,-0.02,-0.05,0.02,4/30/2019,0.11,-0.07,0.05,-0.05,-0.04,2/1/2019,0.20,0.02,0.00,-0.05,-0.02,10/25/2018,0.03,0.05,0.00,0.04,0.02
SBA Communications Corp. Class A, 6/16/1999,1989,"$31,551.67",2/21/2020,0.50,0.14,0.07,-0.01,0.00,10/29/2019,-0.45,-0.02,-0.07,0.03,-0.01,7/30/2019,29%,0.00,0.07,0.04,-0.13,4/30/2019,0.15,-0.03,0.06,-0.01,0.08,2/22/2019,0.11,-0.01,0.02,0.06,-0.01,11/6/2018,-0.43,0.09,0.06,-0.01,0.04
WEC Energy Group Inc,11/05/1984,1981,"$31,360.55",1/30/2020,0.07,0.05,-0.02,0.03,0.17,11/6/2019,0.03,-0.05,-0.04,0.01,0.00,8/5/2019,5%,0.02,0.02,0.08,-0.09,4/25/2019,0.06,-0.02,0.01,0.08,-0.01,2/12/2019,0.03,0.03,-0.01,0.02,0.03,10/31/2018,0.05,0.05,0.02,0.00,0.10
Sempra Energy,11/05/1984,1996,"$31,250.15",2/27/2020,0.05,0.00,-0.10,0.03,0.00,11/1/2019,0.02,-0.02,-0.03,0.00,0.00,8/2/2019,-5%,-0.03,0.04,0.01,-0.03,5/7/2019,0.14,0.00,0.05,0.03,0.00,2/26/2019,0.07,-0.04,0.04,0.01,0.00,11/7/2018,0.09,-0.01,0.01,0.04,0.05
"Marriott International, Inc. Class A",10/01/1993,1927,"$30,998.20",2/27/2020,0.07,-0.11,-0.05,0.02,0.00,11/5/2019,-0.01,0.03,0.00,0.03,0.05,8/6/2019,0%,0.01,0.01,-0.05,0.01,5/10/2019,0.06,0.02,-0.03,0.04,0.01,3/1/2019,0.03,0.04,-0.02,0.02,0.05,11/6/2018,0.30,0.09,0.05,-0.02,-0.01
Emerson Electric Co.,11/05/1984,1890,"$30,793.96",2/4/2020,0.00,-0.04,-0.05,0.00,-0.25,11/5/2019,-0.01,0.03,-0.02,0.00,0.01,8/6/2019,3%,-0.04,-0.05,0.01,0.06,5/7/2019,0.00,-0.04,-0.03,-0.02,-0.03,2/5/2019,0.12,0.04,0.01,-0.01,-0.01,11/6/2018,0.09,-0.01,-0.01,-0.07,-0.03
Bank of New York Mellon Corporation,11/05/1984,1965,"$30,206.79",1/16/2020,0.09,-0.01,-0.01,-0.02,-0.02,10/16/2019,0.08,0.00,0.03,0.02,-0.01,7/17/2019,7%,-0.04,0.06,-0.06,-0.04,4/17/2019,-0.02,0.03,0.02,-0.05,-0.04,1/16/2019,-0.09,0.01,0.00,-0.03,0.00,10/18/2018,0.02,-0.02,0.00,0.04,0.03
"Digital Realty Trust, Inc.",10/29/2004,2004,"$29,963.65",2/14/2020,5.20,-0.02,0.08,0.10,0.00,10/30/2019,-0.17,-0.01,-0.12,0.02,-0.06,7/31/2019,-42%,-0.05,0.08,0.01,0.00,4/26/2019,0.70,-0.03,0.02,0.04,-0.05,2/6/2019,-0.47,0.02,0.06,-0.02,0.02,10/26/2018,0.03,0.09,0.00,0.04,0.07
Allstate Corporation, 6/03/1993,1931,"$29,400.11",2/5/2020,-0.03,0.03,-0.02,-0.02,-0.14,10/30/2019,0.10,-0.01,0.04,-0.01,-0.02,7/31/2019,42%,-0.03,-0.01,-0.01,0.00,5/2/2019,0.01,-0.01,-0.01,0.04,0.02,2/6/2019,0.13,0.00,0.01,-0.01,-0.02,11/1/2018,-0.13,0.03,-0.01,-0.01,-0.03
"Consolidated Edison, Inc.",11/05/1984,1823,"$29,395.56",2/21/2020,0.09,0.00,0.08,0.00,0.00,11/5/2019,-0.02,-0.05,-0.03,0.00,0.00,8/2/2019,-1%,-0.01,0.03,0.01,-0.01,5/3/2019,0.02,0.01,0.04,0.04,-0.05,2/22/2019,0.03,0.02,0.04,0.00,-0.03,11/2/2018,0.06,0.00,0.03,0.03,0.07
Hershey Company,11/05/1984,1894,"$29,331.38",1/30/2020,0.03,0.02,-0.02,0.02,0.06,10/24/2019,0.00,-0.07,-0.06,0.03,0.00,7/25/2019,12%,0.05,0.05,0.03,-0.02,4/25/2019,0.09,-0.01,0.04,0.05,0.04,1/31/2019,-0.01,-0.05,0.00,0.02,-0.02,10/25/2018,0.00,0.09,0.00,0.05,0.01
Kraft Heinz Company, 9/17/2012,2015,"$29,276.95",2/13/2020,0.06,-0.02,0.01,0.06,0.00,10/31/2019,0.30,0.02,-0.06,-0.03,0.03,8/8/2019,4%,0.01,-0.09,0.05,0.03,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2/22/2019,-0.10,-0.01,-0.06,-0.01,-0.01,11/2/2018,-0.04,0.02,0.02,-0.03,-0.02
"MetLife, Inc.", 4/05/2000,1868,"$29,242.39",2/6/2020,0.44,-0.01,-0.01,-0.13,-0.19,10/31/2019,-0.09,-0.01,0.03,0.00,0.00,8/1/2019,3%,-0.01,-0.04,-0.04,0.07,5/2/2019,0.16,-0.02,0.02,0.01,0.01,2/7/2019,0.05,-0.02,-0.01,0.00,-0.07,11/2/2018,0.09,-0.03,0.00,0.00,-0.03
Eversource Energy,11/05/1984,1966,"$29,210.71",2/20/2020,-0.01,0.01,0.12,-0.09,0.00,11/6/2019,0.03,-0.08,0.00,-0.01,-0.01,8/1/2019,-2%,-0.02,0.06,-0.01,0.00,5/2/2019,0.06,0.01,0.03,0.05,0.00,2/21/2019,-0.01,-0.01,-0.01,-0.01,-0.02,11/2/2018,0.03,0.02,0.07,0.01,0.06
Cognizant Technology Solutions Corporation Class A, 6/19/1998,1994,"$28,869.28",2/6/2020,0.03,0.04,-0.02,-0.06,-0.10,10/31/2019,0.03,-0.04,0.02,0.00,-0.05,8/1/2019,2%,0.00,-0.05,-0.01,0.02,5/3/2019,-0.12,-0.08,0.03,0.06,-0.02,2/6/2019,0.07,0.03,-0.06,0.02,-0.04,10/30/2018,0.05,0.00,0.03,0.01,0.01
Electronic Arts Inc., 9/20/1989,1982,"$28,115.76",1/31/2020,0.01,0.02,-0.03,0.06,-0.09,10/30/2019,0.13,-0.02,-0.02,0.03,0.04,7/31/2019,2706%,-0.01,0.00,0.03,0.02,5/8/2019,0.61,0.00,0.01,0.03,-0.07,2/6/2019,0.19,-0.03,0.19,0.03,0.02,10/31/2018,0.60,-0.07,-0.06,-0.01,-0.02
FedEx Corporation,11/05/1984,1971,"$27,843.12",12/18/2019,-0.08,0.05,0.03,0.01,-0.08,9/18/2019,-0.03,0.08,-0.02,0.04,0.01,6/26/2019,3%,-0.03,-0.01,0.08,-0.04,3/20/2019,-0.02,0.00,0.04,0.06,-0.06,12/19/2018,0.02,-0.11,0.01,0.02,0.01,9/18/2018,-0.09,0.05,-0.01,-0.02,0.00
"DuPont de Nemours, Inc.",11/05/1984,2017,"$27,431.29",1/30/2020,0.00,-0.04,-0.02,-0.07,-0.04,10/31/2019,0.02,-0.03,0.04,-0.09,-0.01,8/1/2019,9%,0.01,-0.06,-0.02,0.09,5/2/2019,0.33,-0.05,-0.10,0.03,-0.23,1/31/2019,0.01,0.05,-0.04,-0.01,0.03,11/1/2018,0.04,-0.06,0.01,-0.02,-0.03
"Travelers Companies, Inc.",11/05/1984,1853,"$27,403.08",1/23/2020,0.01,0.02,0.01,-0.01,0.03,10/22/2019,-0.39,-0.03,-0.02,0.02,0.00,7/23/2019,-11%,-0.03,0.03,0.00,0.01,4/18/2019,0.04,-0.02,0.02,0.06,0.03,1/22/2019,0.01,-0.01,-0.01,0.01,0.02,10/18/2018,0.13,0.01,0.01,0.00,0.03
Equity Residential, 8/12/1993,1993,"$27,381.30",1/29/2020,1.00,0.01,0.00,0.04,0.06,10/23/2019,0.91,-0.03,-0.05,0.00,-0.03,7/31/2019,159%,0.01,0.06,0.03,-0.02,5/1/2019,-0.04,-0.03,0.02,0.02,-0.01,1/30/2019,-0.20,0.05,-0.01,-0.01,0.01,10/24/2018,0.68,0.02,-0.03,0.09,0.04
"AvalonBay Communities, Inc.", 3/11/1994,1978,"$27,166.41",2/6/2020,-0.01,0.00,0.04,0.02,-0.08,10/29/2019,0.64,-0.03,-0.05,0.02,-0.02,8/1/2019,3%,-0.01,0.04,0.01,-0.05,4/25/2019,0.05,-0.03,0.01,0.04,0.01,2/5/2019,1.44,0.02,-0.02,0.01,-0.01,10/30/2018,0.20,0.07,0.03,0.01,0.02
"Republic Services, Inc.", 7/01/1998,1996,"$27,113.97",2/14/2020,0.03,0.01,0.02,-0.10,0.00,10/31/2019,0.08,0.02,-0.02,0.00,0.00,7/26/2019,2%,-0.01,0.03,0.00,-0.04,4/26/2019,0.00,-0.02,0.06,0.02,0.00,2/8/2019,0.03,0.00,-0.02,0.01,0.01,10/26/2018,0.01,-0.02,0.02,0.06,-0.02
eBay Inc., 9/24/1998,1995,"$27,058.79",1/29/2020,0.07,0.05,0.04,0.06,0.11,10/24/2019,0.04,0.01,-0.05,-0.01,-0.02,7/18/2019,9%,-0.03,0.05,-0.01,0.00,4/24/2019,0.07,-0.04,-0.01,-0.03,0.02,1/30/2019,0.05,0.09,0.04,0.01,-0.03,10/31/2018,0.03,-0.10,-0.04,0.04,0.03
"O'Reilly Automotive, Inc.", 4/23/1993,1957,"$26,536.01",2/6/2020,0.00,-0.04,-0.02,0.05,-0.04,10/24/2019,0.06,-0.02,-0.02,-0.02,0.01,7/25/2019,-3%,0.01,0.04,0.01,0.03,4/25/2019,0.00,-0.03,-0.01,0.01,0.02,2/7/2019,-0.01,-0.02,0.02,-0.04,0.02,10/25/2018,0.04,0.01,0.05,0.05,-0.04
"Motorola Solutions, Inc.",11/05/1984,1928,"$26,431.21",2/7/2020,0.05,0.00,0.04,0.06,-0.06,10/31/2019,0.04,-0.06,-0.05,0.02,-0.05,8/2/2019,6%,-0.03,0.03,0.03,-0.11,5/3/2019,0.12,-0.01,0.05,0.07,0.02,2/8/2019,0.04,0.01,0.01,0.01,-0.02,11/2/2018,0.13,0.01,0.00,0.01,0.00
"Paychex, Inc.",11/05/1984,1971,"$25,646.10",12/18/2019,0.02,-0.02,-0.01,0.01,0.00,10/2/2019,0.03,0.02,-0.02,-0.02,-0.03,6/26/2019,-2%,-0.03,0.01,0.00,0.01,3/27/2019,0.01,0.02,-0.01,0.01,0.03,12/19/2018,0.03,-0.01,0.02,0.00,0.02,10/2/2018,0.02,-0.02,-0.04,-0.02,0.03
"Constellation Brands, Inc. Class A", 7/01/1986,1945,"$25,596.60",1/8/2020,0.17,-0.03,0.00,0.02,0.04,10/3/2019,0.03,0.04,-0.01,-0.05,-0.06,6/28/2019,8%,-0.01,-0.02,0.00,0.01,4/4/2019,0.07,0.07,0.03,0.05,0.00,1/9/2019,0.15,0.00,0.07,0.03,-0.06,10/4/2018,0.10,-0.02,0.06,-0.10,-0.02
T. Rowe Price Group, 4/02/1986,1937,"$25,334.28",1/29/2020,0.10,0.01,-0.02,-0.02,-0.07,10/24/2019,0.12,-0.03,0.04,-0.01,0.02,7/24/2019,12%,0.00,-0.01,0.00,0.04,4/24/2019,0.22,0.01,-0.05,0.03,-0.01,1/30/2019,-0.12,-0.01,0.07,0.01,-0.01,10/25/2018,0.19,-0.03,0.01,0.01,-0.03
Cintas Corporation,11/05/1984,1968,"$25,271.67",12/18/2019,0.12,-0.01,0.01,0.02,0.02,9/25/2019,0.08,0.02,0.01,-0.01,-0.04,7/17/2019,7%,-0.01,0.00,0.03,0.00,3/22/2019,0.07,-0.01,0.03,0.02,0.05,12/21/2018,0.03,-0.02,0.03,0.02,0.02,9/26/2018,0.07,-0.02,-0.03,-0.05,0.02
Aflac Incorporated,11/05/1984,1955,"$25,064.25",2/5/2020,-0.01,-0.01,-0.05,-0.09,-0.17,10/25/2019,0.09,-0.01,-0.01,-0.01,-0.03,7/26/2019,6%,-0.05,0.02,-0.06,0.01,4/26/2019,0.07,-0.01,0.05,0.03,0.02,2/1/2019,0.08,-0.02,0.00,-0.01,0.01,10/25/2018,0.04,-0.03,0.03,0.05,-0.04
Johnson Controls International plc,11/05/1984,1885,"$25,061.17",1/31/2020,0.05,-0.01,0.01,-0.01,-0.14,11/7/2019,0.02,0.02,-0.01,-0.02,-0.04,7/31/2019,10%,-0.02,0.02,0.01,0.00,5/1/2019,0.06,0.01,0.02,0.02,0.00,2/1/2019,-0.25,0.03,0.03,0.00,0.02,11/8/2018,0.00,0.01,0.03,-0.03,-0.01
"American International Group, Inc.",11/05/1984,1919,"$24,892.53",2/13/2020,0.03,0.04,-0.05,-0.23,0.00,11/1/2019,-0.44,-0.03,-0.02,-0.04,-0.02,8/8/2019,24%,-0.01,-0.05,0.00,0.05,5/7/2019,0.49,0.02,0.05,0.03,-0.04,2/14/2019,-2.49,0.00,0.05,0.02,-0.03,11/1/2018,-6.79,-0.13,-0.01,0.00,-0.06
Realty Income Corporation,10/18/1994,1969,"$24,744.23",2/20/2020,0.11,-0.01,0.05,-0.07,0.00,11/5/2019,-0.08,-0.02,-0.02,-0.02,-0.08,8/6/2019,-9%,0.05,0.03,0.04,-0.04,5/2/2019,0.07,0.00,0.00,0.05,-0.01,2/21/2019,-0.06,-0.03,0.01,0.01,-0.02,11/1/2018,0.03,0.07,0.03,0.01,0.07
Trane Technologies plc,11/05/1984,1871,"$24,660.20",1/29/2020,-0.02,0.00,0.05,0.03,-0.11,10/29/2019,0.04,0.03,-0.01,-0.01,0.02,7/30/2019,2%,-0.04,-0.02,-0.01,0.01,4/30/2019,0.11,0.04,0.02,-0.01,0.01,1/31/2019,0.02,0.04,0.02,0.00,0.00,10/24/2018,0.02,-0.05,0.05,0.05,-0.03
HP Inc.,11/05/1984,1939,"$24,624.88",2/25/2020,0.21,0.05,-0.07,-0.13,0.00,11/27/2019,0.04,0.01,0.03,-0.01,0.03,8/23/2019,6%,-0.03,0.02,-0.03,-0.08,5/24/2019,0.04,0.01,-0.03,0.02,-0.01,2/28/2019,0.01,0.00,-0.01,-0.03,0.02,11/30/2018,0.00,-0.05,0.00,-0.02,-0.02
"Delta Air Lines, Inc.", 4/26/2007,1928,"$24,554.01",1/14/2020,0.21,-0.01,-0.08,0.02,-0.07,10/10/2019,0.02,-0.05,-0.01,0.05,-0.05,7/11/2019,3%,0.04,0.03,-0.01,-0.03,4/2/2019,0.12,0.02,0.04,-0.02,-0.01,1/15/2019,0.02,-0.09,0.02,-0.02,-0.03,10/11/2018,0.03,-0.10,0.05,0.02,0.07
Brown-Forman Corporation Class B,11/05/1984,1870,"$24,410.73",3/4/2020,-0.04,0.01,-0.18,0.00,0.00,12/5/2019,0.13,0.03,0.00,0.02,0.03,8/28/2019,5%,0.07,0.06,-0.02,0.01,6/5/2019,0.09,0.01,-0.02,0.02,-0.03,3/6/2019,0.05,0.06,0.02,0.02,-0.01,12/5/2018,0.01,0.01,-0.02,0.03,-0.02
Kroger Co.,11/05/1984,1883,"$24,199.48",3/5/2020,0.03,0.12,-0.08,0.00,0.00,12/5/2019,-0.04,0.03,0.04,-0.01,-0.04,9/12/2019,7%,0.06,0.02,-0.06,0.02,6/20/2019,0.02,-0.02,-0.07,0.00,0.04,3/7/2019,-0.08,-0.01,-0.09,-0.03,0.08,12/6/2018,0.12,-0.07,0.02,-0.02,0.02
